document_index,summarizer,normalizer,rouge_1,rouge_2,rouge_l,time_elapsed
1622,freq,raw,0.8666666666666667,0.8387096774193549,0.5491329479768786,0.0
1408,freq,raw,0.8588235294117647,0.8333333333333334,0.7166666666666667,0.0
446,freq,raw,0.8405797101449275,0.7916666666666666,0.7708333333333334,0.0
1482,freq,raw,0.8591549295774648,0.8194444444444444,0.4277456647398844,0.0
1916,freq,raw,0.6222222222222222,0.5934065934065934,0.3,0.0
952,freq,raw,0.6119402985074627,0.5882352941176471,0.6454545454545455,0.0
1406,freq,raw,0.828125,0.796875,0.7333333333333333,0.0
261,freq,raw,0.87,0.8514851485148515,0.40711462450592883,0.0009522438049316406
2093,freq,raw,0.9230769230769231,0.9038461538461539,0.3261538461538461,0.0
385,freq,raw,0.9052631578947369,0.8673469387755102,0.6474358974358975,0.0
1003,freq,raw,0.40404040404040403,0.3877551020408163,0.89,0.0
1759,freq,raw,0.8285714285714286,0.8055555555555556,0.6484375,0.0
495,freq,raw,0.2692307692307692,0.21518987341772153,0.9753086419753086,0.0
1370,freq,raw,0.8775510204081632,0.86,0.26288659793814434,0.0009996891021728516
343,freq,raw,0.8681318681318682,0.8494623655913979,0.5,0.0010004043579101562
329,freq,raw,0.9351851851851852,0.9181818181818182,0.2994652406417112,0.0
1789,freq,raw,0.3614457831325301,0.3170731707317073,0.5915492957746479,0.0
1465,freq,raw,0.6896551724137931,0.6744186046511628,0.7521367521367521,0.0
640,freq,raw,0.9259259259259259,0.9107142857142857,0.22135922330097088,0.0
1527,freq,raw,0.5189873417721519,0.4936708860759494,0.8631578947368421,0.0
25,freq,raw,0.8311688311688312,0.810126582278481,0.6029411764705882,0.0
1923,freq,raw,0.7183098591549296,0.6533333333333333,0.4968152866242038,0.0
1906,freq,raw,0.5909090909090909,0.5617977528089888,0.4972677595628415,0.0
1671,freq,raw,0.8589743589743589,0.8311688311688312,0.5064102564102564,0.0
1587,freq,raw,0.828125,0.78125,0.5037593984962406,0.0
983,freq,raw,0.927710843373494,0.9080459770114943,0.34210526315789475,0.0
542,freq,raw,0.5473684210526316,0.5,0.7518796992481203,0.0
1576,freq,raw,0.8787878787878788,0.8571428571428571,0.5347593582887701,0.0
422,freq,raw,0.8585858585858586,0.8383838383838383,0.7709923664122137,0.0
677,freq,raw,0.9090909090909091,0.8831168831168831,0.6171875,0.0
469,freq,raw,0.8533333333333334,0.8181818181818182,0.8987341772151899,0.0
1149,freq,raw,0.5473684210526316,0.5212765957446809,0.3490909090909091,0.0
1029,freq,raw,0.9204545454545454,0.898876404494382,0.48404255319148937,0.0
2103,freq,raw,0.9245283018867925,0.9056603773584906,0.3898916967509025,0.0
821,freq,raw,0.8028169014084507,0.7777777777777778,0.6902654867256637,0.0
293,freq,raw,0.922077922077922,0.8961038961038961,0.3607305936073059,0.0
847,freq,raw,0.7962962962962963,0.7678571428571429,0.6666666666666666,0.0009999275207519531
2054,freq,raw,0.8309859154929577,0.8082191780821918,0.39267015706806285,0.0
168,freq,raw,0.5925925925925926,0.5802469135802469,0.9879518072289156,0.0
1040,freq,raw,0.5915492957746479,0.5774647887323944,0.8648648648648649,0.0
1742,freq,raw,0.5428571428571428,0.5217391304347826,0.6698113207547169,0.0
690,freq,raw,0.8064516129032258,0.7419354838709677,0.27467811158798283,0.0
40,freq,raw,0.8354430379746836,0.8125,0.6119402985074627,0.0
527,freq,raw,0.5777777777777777,0.5543478260869565,0.8526315789473684,0.0
655,freq,raw,0.8586956521739131,0.8297872340425532,0.7933884297520661,0.0015039443969726562
1848,freq,raw,0.3488372093023256,0.313953488372093,0.9090909090909091,0.0
774,freq,raw,0.8428571428571429,0.8142857142857143,0.6153846153846154,0.0009427070617675781
652,freq,raw,0.8378378378378378,0.7894736842105263,0.4514285714285714,0.0
232,freq,raw,0.5783132530120482,0.5662650602409639,0.7529411764705882,0.0
1237,freq,raw,0.956989247311828,0.9175257731958762,0.6149068322981367,0.0
724,freq,raw,0.3225806451612903,0.30851063829787234,0.9175257731958762,0.0
2064,freq,raw,0.84,0.8051948051948052,0.8977272727272727,0.0
356,freq,raw,0.6024096385542169,0.5783132530120482,0.7083333333333334,0.0
1488,freq,raw,0.85,0.8227848101265823,0.5827338129496403,0.0
1251,freq,raw,0.8809523809523809,0.8554216867469879,0.40865384615384615,0.0009999275207519531
886,freq,raw,0.8829787234042553,0.8556701030927835,0.8347107438016529,0.0
662,freq,raw,0.8688524590163934,0.8484848484848485,0.28870292887029286,0.0
